date,case_status,cases,deaths,county,cases_rolling,deaths_rolling
2020-03-01,Confirmed,7,0,metro,,
2020-03-02,Confirmed,6,0,metro,,
2020-03-03,Confirmed,14,0,metro,,
2020-03-04,Confirmed,14,0,metro,,
2020-03-05,Confirmed,11,0,metro,,
2020-03-06,Confirmed,22,0,metro,,
2020-03-07,Confirmed,29,0,metro,14.714285714285714,0.0
2020-03-08,Confirmed,38,0,metro,19.142857142857142,0.0
2020-03-09,Confirmed,71,0,metro,28.428571428571427,0.0
2020-03-10,Confirmed,84,0,metro,38.42857142857143,0.0
2020-03-11,Confirmed,128,0,metro,54.714285714285715,0.0
2020-03-12,Confirmed,159,0,metro,75.85714285714286,0.0
2020-03-13,Confirmed,228,0,metro,105.28571428571429,0.0
2020-03-14,Confirmed,221,0,metro,132.71428571428572,0.0
2020-03-15,Confirmed,280,0,metro,167.28571428571428,0.0
2020-03-16,Confirmed,400,1,metro,214.28571428571428,0.14285714285714285
2020-03-17,Confirmed,477,0,metro,270.42857142857144,0.14285714285714285
2020-03-18,Confirmed,514,1,metro,325.57142857142856,0.2857142857142857
2020-03-19,Confirmed,447,3,metro,366.7142857142857,0.7142857142857143
2020-03-20,Confirmed,564,1,metro,414.7142857142857,0.8571428571428571
2020-03-21,Confirmed,436,5,metro,445.42857142857144,1.5714285714285714
2020-03-22,Confirmed,469,7,metro,472.42857142857144,2.5714285714285716
2020-03-23,Confirmed,714,10,metro,517.2857142857143,3.857142857142857
2020-03-24,Confirmed,578,14,metro,531.7142857142857,5.857142857142857
2020-03-25,Confirmed,620,16,metro,546.8571428571429,8.0
2020-03-26,Confirmed,590,26,metro,567.2857142857143,11.285714285714286
2020-03-27,Confirmed,693,25,metro,585.7142857142857,14.714285714285714
2020-03-28,Confirmed,557,28,metro,603.0,18.0
2020-03-29,Confirmed,469,36,metro,603.0,22.142857142857142
2020-03-30,Confirmed,865,39,metro,624.5714285714286,26.285714285714285
2020-03-31,Confirmed,721,70,metro,645.0,34.285714285714285
2020-04-01,Confirmed,851,68,metro,678.0,41.714285714285715
2020-04-02,Confirmed,639,70,metro,685.0,48.0
2020-04-03,Confirmed,649,65,metro,678.7142857142857,53.714285714285715
2020-04-04,Confirmed,534,67,metro,675.4285714285714,59.285714285714285
2020-04-05,Confirmed,447,58,metro,672.2857142857143,62.42857142857143
2020-04-06,Confirmed,675,68,metro,645.1428571428571,66.57142857142857
2020-04-07,Confirmed,617,94,metro,630.2857142857143,70.0
2020-04-08,Confirmed,565,77,metro,589.4285714285714,71.28571428571429
2020-04-09,Confirmed,552,71,metro,577.0,71.42857142857143
2020-04-10,Confirmed,518,95,metro,558.2857142857143,75.71428571428571
2020-04-11,Confirmed,320,89,metro,527.7142857142857,78.85714285714286
2020-04-12,Confirmed,308,99,metro,507.85714285714283,84.71428571428571
2020-04-13,Confirmed,449,68,metro,475.57142857142856,84.71428571428571
2020-04-14,Confirmed,414,74,metro,446.57142857142856,81.85714285714286
2020-04-15,Confirmed,431,74,metro,427.42857142857144,81.42857142857143
2020-04-16,Confirmed,389,78,metro,404.14285714285717,82.42857142857143
2020-04-17,Confirmed,349,75,metro,380.0,79.57142857142857
2020-04-18,Confirmed,264,73,metro,372.0,77.28571428571429
2020-04-19,Confirmed,192,69,metro,355.42857142857144,73.0
2020-04-20,Confirmed,373,53,metro,344.57142857142856,70.85714285714286
2020-04-21,Confirmed,390,66,metro,341.14285714285717,69.71428571428571
2020-04-22,Confirmed,366,72,metro,331.85714285714283,69.42857142857143
2020-04-23,Confirmed,351,48,metro,326.42857142857144,65.14285714285714
2020-04-24,Confirmed,326,65,metro,323.14285714285717,63.714285714285715
2020-04-25,Confirmed,164,66,metro,308.85714285714283,62.714285714285715
2020-04-26,Confirmed,166,58,metro,305.14285714285717,61.142857142857146
2020-04-27,Confirmed,316,54,metro,297.0,61.285714285714285
2020-04-28,Confirmed,288,58,metro,282.42857142857144,60.142857142857146
2020-04-29,Confirmed,238,55,metro,264.14285714285717,57.714285714285715
2020-04-30,Confirmed,263,52,metro,251.57142857142858,58.285714285714285
2020-05-01,Confirmed,242,44,metro,239.57142857142858,55.285714285714285
2020-05-02,Confirmed,125,36,metro,234.0,51.0
2020-05-03,Confirmed,106,38,metro,225.42857142857142,48.142857142857146
2020-05-04,Confirmed,280,46,metro,220.28571428571428,47.0
2020-05-05,Confirmed,226,28,metro,211.42857142857142,42.714285714285715
2020-05-06,Confirmed,216,23,metro,208.28571428571428,38.142857142857146
2020-05-07,Confirmed,194,50,metro,198.42857142857142,37.857142857142854
2020-05-08,Confirmed,188,24,metro,190.71428571428572,35.0
2020-05-09,Confirmed,118,19,metro,189.71428571428572,32.57142857142857
2020-05-10,Confirmed,67,23,metro,184.14285714285714,30.428571428571427
2020-05-11,Confirmed,198,23,metro,172.42857142857142,27.142857142857142
2020-05-12,Confirmed,146,23,metro,161.0,26.428571428571427
2020-05-13,Confirmed,148,20,metro,151.28571428571428,26.0
2020-05-14,Confirmed,130,18,metro,142.14285714285714,21.428571428571427
2020-05-15,Confirmed,162,27,metro,138.42857142857142,21.857142857142858
2020-05-16,Confirmed,80,14,metro,133.0,21.142857142857142
2020-05-17,Confirmed,44,16,metro,129.71428571428572,20.142857142857142
2020-05-18,Confirmed,122,16,metro,118.85714285714286,19.142857142857142
2020-05-19,Confirmed,141,20,metro,118.14285714285714,18.714285714285715
2020-05-20,Confirmed,130,18,metro,115.57142857142857,18.428571428571427
2020-05-21,Confirmed,124,16,metro,114.71428571428571,18.142857142857142
2020-05-22,Confirmed,122,14,metro,109.0,16.285714285714285
2020-05-23,Confirmed,53,15,metro,105.14285714285714,16.428571428571427
2020-05-24,Confirmed,31,15,metro,103.28571428571429,16.285714285714285
2020-05-25,Confirmed,38,14,metro,91.28571428571429,16.0
2020-05-26,Confirmed,153,7,metro,93.0,14.142857142857142
2020-05-27,Confirmed,125,9,metro,92.28571428571429,12.857142857142858
2020-05-28,Confirmed,104,13,metro,89.42857142857143,12.428571428571429
2020-05-29,Confirmed,98,11,metro,86.0,12.0
2020-05-30,Confirmed,63,8,metro,87.42857142857143,11.0
2020-05-31,Confirmed,59,8,metro,91.42857142857143,10.0
2020-06-01,Confirmed,65,11,metro,95.28571428571429,9.571428571428571
2020-06-02,Confirmed,81,8,metro,85.0,9.714285714285714
2020-06-03,Confirmed,77,10,metro,78.14285714285714,9.857142857142858
2020-06-04,Confirmed,82,7,metro,75.0,9.0
2020-06-05,Confirmed,81,5,metro,72.57142857142857,8.142857142857142
2020-06-06,Confirmed,42,4,metro,69.57142857142857,7.571428571428571
2020-06-07,Confirmed,29,7,metro,65.28571428571429,7.428571428571429
2020-06-08,Confirmed,76,4,metro,66.85714285714286,6.428571428571429
2020-06-09,Confirmed,79,8,metro,66.57142857142857,6.428571428571429
2020-06-10,Confirmed,92,10,metro,68.71428571428571,6.428571428571429
2020-06-11,Confirmed,83,7,metro,68.85714285714286,6.428571428571429
2020-06-12,Confirmed,80,2,metro,68.71428571428571,6.0
2020-06-13,Confirmed,50,3,metro,69.85714285714286,5.857142857142857
2020-06-14,Confirmed,41,4,metro,71.57142857142857,5.428571428571429
2020-06-15,Confirmed,74,6,metro,71.28571428571429,5.714285714285714
2020-06-16,Confirmed,98,3,metro,74.0,5.0
2020-06-17,Confirmed,123,3,metro,78.42857142857143,4.0
2020-06-18,Confirmed,94,5,metro,80.0,3.7142857142857144
2020-06-19,Confirmed,130,3,metro,87.14285714285714,3.857142857142857
2020-06-20,Confirmed,61,5,metro,88.71428571428571,4.142857142857143
2020-06-21,Confirmed,90,2,metro,95.71428571428571,3.857142857142857
2020-06-22,Confirmed,178,4,metro,110.57142857142857,3.5714285714285716
2020-06-23,Confirmed,212,2,metro,126.85714285714286,3.4285714285714284
2020-06-24,Confirmed,204,2,metro,138.42857142857142,3.2857142857142856
2020-06-25,Confirmed,185,3,metro,151.42857142857142,3.0
2020-06-26,Confirmed,171,1,metro,157.28571428571428,2.7142857142857144
2020-06-27,Confirmed,140,5,metro,168.57142857142858,2.7142857142857144
2020-06-28,Confirmed,115,6,metro,172.14285714285714,3.2857142857142856
2020-06-29,Confirmed,217,4,metro,177.71428571428572,3.2857142857142856
2020-06-30,Confirmed,220,4,metro,178.85714285714286,3.5714285714285716
2020-07-01,Confirmed,217,4,metro,180.71428571428572,3.857142857142857
2020-07-02,Confirmed,221,4,metro,185.85714285714286,4.0
2020-07-03,Confirmed,196,6,metro,189.42857142857142,4.714285714285714
2020-07-04,Confirmed,118,4,metro,186.28571428571428,4.571428571428571
2020-07-05,Confirmed,154,0,metro,191.85714285714286,3.7142857142857144
2020-07-06,Confirmed,312,1,metro,205.42857142857142,3.2857142857142856
2020-07-07,Confirmed,283,5,metro,214.42857142857142,3.4285714285714284
2020-07-08,Confirmed,297,3,metro,225.85714285714286,3.2857142857142856
2020-07-09,Confirmed,259,3,metro,231.28571428571428,3.142857142857143
2020-07-10,Confirmed,270,2,metro,241.85714285714286,2.5714285714285716
2020-07-11,Confirmed,197,3,metro,253.14285714285714,2.4285714285714284
2020-07-12,Confirmed,185,5,metro,257.57142857142856,3.142857142857143
2020-07-13,Confirmed,382,1,metro,267.57142857142856,3.142857142857143
2020-07-14,Confirmed,314,1,metro,272.0,2.5714285714285716
2020-07-15,Confirmed,300,1,metro,272.42857142857144,2.2857142857142856
2020-07-16,Confirmed,327,3,metro,282.14285714285717,2.2857142857142856
2020-07-17,Confirmed,270,2,metro,282.14285714285717,2.2857142857142856
2020-07-18,Confirmed,203,4,metro,283.0,2.4285714285714284
2020-07-19,Confirmed,167,0,metro,280.42857142857144,1.7142857142857142
2020-07-20,Confirmed,370,3,metro,278.7142857142857,2.0
2020-07-21,Confirmed,340,4,metro,282.42857142857144,2.4285714285714284
2020-07-22,Confirmed,356,2,metro,290.42857142857144,2.5714285714285716
2020-07-23,Confirmed,321,3,metro,289.57142857142856,2.5714285714285716
2020-07-24,Confirmed,307,5,metro,294.85714285714283,3.0
2020-07-25,Confirmed,235,1,metro,299.42857142857144,2.5714285714285716
2020-07-26,Confirmed,198,2,metro,303.85714285714283,2.857142857142857
2020-07-27,Confirmed,347,2,metro,300.57142857142856,2.7142857142857144
2020-07-28,Confirmed,366,2,metro,304.2857142857143,2.4285714285714284
2020-07-29,Confirmed,389,4,metro,309.0,2.7142857142857144
2020-07-30,Confirmed,333,4,metro,310.7142857142857,2.857142857142857
2020-07-31,Confirmed,354,4,metro,317.42857142857144,2.7142857142857144
2020-08-01,Confirmed,310,2,metro,328.14285714285717,2.857142857142857
2020-08-02,Confirmed,244,3,metro,334.7142857142857,3.0
2020-08-03,Confirmed,397,3,metro,341.85714285714283,3.142857142857143
2020-08-04,Confirmed,403,3,metro,347.14285714285717,3.2857142857142856
2020-08-05,Confirmed,356,3,metro,342.42857142857144,3.142857142857143
2020-08-06,Confirmed,337,3,metro,343.0,3.0
2020-08-07,Confirmed,376,8,metro,346.14285714285717,3.5714285714285716
2020-08-08,Confirmed,274,5,metro,341.0,4.0
2020-08-09,Confirmed,291,6,metro,347.7142857142857,4.428571428571429
2020-08-10,Confirmed,501,2,metro,362.57142857142856,4.285714285714286
2020-08-11,Confirmed,402,4,metro,362.42857142857144,4.428571428571429
2020-08-12,Confirmed,389,3,metro,367.14285714285717,4.428571428571429
2020-08-13,Confirmed,362,3,metro,370.7142857142857,4.428571428571429
2020-08-14,Confirmed,314,5,metro,361.85714285714283,4.0
2020-08-15,Confirmed,262,2,metro,360.14285714285717,3.5714285714285716
2020-08-16,Confirmed,231,1,metro,351.57142857142856,2.857142857142857
2020-08-17,Confirmed,376,4,metro,333.7142857142857,3.142857142857143
2020-08-18,Confirmed,322,6,metro,322.2857142857143,3.4285714285714284
2020-08-19,Confirmed,319,7,metro,312.2857142857143,4.0
2020-08-20,Confirmed,326,5,metro,307.14285714285717,4.285714285714286
2020-08-21,Confirmed,336,3,metro,310.2857142857143,4.0
2020-08-22,Confirmed,287,1,metro,313.85714285714283,3.857142857142857
2020-08-23,Confirmed,262,6,metro,318.2857142857143,4.571428571428571
2020-08-24,Confirmed,368,3,metro,317.14285714285717,4.428571428571429
2020-08-25,Confirmed,281,7,metro,311.2857142857143,4.571428571428571
2020-08-26,Confirmed,262,5,metro,303.14285714285717,4.285714285714286
2020-08-27,Confirmed,260,6,metro,293.7142857142857,4.428571428571429
2020-08-28,Confirmed,261,6,metro,283.0,4.857142857142857
2020-08-29,Confirmed,232,2,metro,275.14285714285717,5.0
2020-08-30,Confirmed,166,2,metro,261.42857142857144,4.428571428571429
2020-08-31,Confirmed,267,4,metro,247.0,4.571428571428571
2020-09-01,Confirmed,336,7,metro,254.85714285714286,4.571428571428571
2020-09-02,Confirmed,235,5,metro,251.0,4.571428571428571
2020-09-03,Confirmed,213,6,metro,244.28571428571428,4.571428571428571
2020-09-04,Confirmed,205,3,metro,236.28571428571428,4.142857142857143
2020-09-05,Confirmed,186,3,metro,229.71428571428572,4.285714285714286
2020-09-06,Confirmed,128,5,metro,224.28571428571428,4.714285714285714
2020-09-07,Confirmed,133,4,metro,205.14285714285714,4.714285714285714
2020-09-08,Confirmed,276,5,metro,196.57142857142858,4.428571428571429
2020-09-09,Confirmed,224,3,metro,195.0,4.142857142857143
2020-09-10,Confirmed,227,3,metro,197.0,3.7142857142857144
2020-09-11,Confirmed,213,4,metro,198.14285714285714,3.857142857142857
2020-09-12,Confirmed,190,2,metro,198.71428571428572,3.7142857142857144
2020-09-13,Confirmed,172,4,metro,205.0,3.5714285714285716
2020-09-14,Confirmed,234,5,metro,219.42857142857142,3.7142857142857144
2020-09-15,Confirmed,238,5,metro,214.0,3.7142857142857144
2020-09-16,Confirmed,232,3,metro,215.14285714285714,3.7142857142857144
2020-09-17,Confirmed,224,5,metro,214.71428571428572,4.0
2020-09-18,Confirmed,232,9,metro,217.42857142857142,4.714285714285714
2020-09-19,Confirmed,170,3,metro,214.57142857142858,4.857142857142857
2020-09-20,Confirmed,156,3,metro,212.28571428571428,4.714285714285714
2020-09-21,Confirmed,319,2,metro,224.42857142857142,4.285714285714286
2020-09-22,Confirmed,270,3,metro,229.0,4.0
2020-09-23,Confirmed,277,3,metro,235.42857142857142,4.0
2020-09-24,Confirmed,212,3,metro,233.71428571428572,3.7142857142857144
2020-09-25,Confirmed,231,7,metro,233.57142857142858,3.4285714285714284
2020-09-26,Confirmed,206,3,metro,238.71428571428572,3.4285714285714284
2020-09-27,Confirmed,197,3,metro,244.57142857142858,3.4285714285714284
2020-09-28,Confirmed,283,3,metro,239.42857142857142,3.5714285714285716
2020-09-29,Confirmed,239,5,metro,235.0,3.857142857142857
2020-09-30,Confirmed,230,4,metro,228.28571428571428,4.0
2020-10-01,Confirmed,240,7,metro,232.28571428571428,4.571428571428571
2020-10-02,Confirmed,261,4,metro,236.57142857142858,4.142857142857143
2020-10-03,Confirmed,219,2,metro,238.42857142857142,4.0
2020-10-04,Confirmed,219,5,metro,241.57142857142858,4.285714285714286
2020-10-05,Confirmed,347,5,metro,250.71428571428572,4.571428571428571
2020-10-06,Confirmed,368,6,metro,269.14285714285717,4.714285714285714
2020-10-07,Confirmed,419,5,metro,296.14285714285717,4.857142857142857
2020-10-08,Confirmed,375,6,metro,315.42857142857144,4.714285714285714
2020-10-09,Confirmed,410,5,metro,336.7142857142857,4.857142857142857
2020-10-10,Confirmed,327,6,metro,352.14285714285717,5.428571428571429
2020-10-11,Confirmed,338,4,metro,369.14285714285717,5.285714285714286
2020-10-12,Confirmed,441,4,metro,382.57142857142856,5.142857142857143
2020-10-13,Confirmed,448,5,metro,394.0,5.0
2020-10-14,Confirmed,488,6,metro,403.85714285714283,5.142857142857143
2020-10-15,Confirmed,411,4,metro,409.0,4.857142857142857
2020-10-16,Confirmed,443,12,metro,413.7142857142857,5.857142857142857
2020-10-17,Confirmed,380,3,metro,421.2857142857143,5.428571428571429
2020-10-18,Confirmed,376,3,metro,426.7142857142857,5.285714285714286
2020-10-19,Confirmed,690,10,metro,462.2857142857143,6.142857142857143
2020-10-20,Confirmed,675,13,metro,494.7142857142857,7.285714285714286
2020-10-21,Confirmed,690,7,metro,523.5714285714286,7.428571428571429
2020-10-22,Confirmed,737,3,metro,570.1428571428571,7.285714285714286
2020-10-23,Confirmed,733,7,metro,611.5714285714286,6.571428571428571
2020-10-24,Confirmed,651,5,metro,650.2857142857143,6.857142857142857
2020-10-25,Confirmed,602,7,metro,682.5714285714286,7.428571428571429
2020-10-26,Confirmed,1099,6,metro,741.0,6.857142857142857
2020-10-27,Confirmed,1065,3,metro,796.7142857142857,5.428571428571429
2020-10-28,Confirmed,1156,7,metro,863.2857142857143,5.428571428571429
2020-10-29,Confirmed,1066,6,metro,910.2857142857143,5.857142857142857
2020-10-30,Confirmed,1223,10,metro,980.2857142857143,6.285714285714286
2020-10-31,Confirmed,921,7,metro,1018.8571428571429,6.571428571428571
2020-11-01,Confirmed,974,7,metro,1072.0,6.571428571428571
2020-11-02,Confirmed,1792,11,metro,1171.0,7.285714285714286
2020-11-03,Confirmed,1768,10,metro,1271.4285714285713,8.285714285714286
2020-11-04,Confirmed,1993,15,metro,1391.0,9.428571428571429
2020-11-05,Confirmed,1973,7,metro,1520.5714285714287,9.571428571428571
2020-11-06,Confirmed,1923,12,metro,1620.5714285714287,9.857142857142858
2020-11-07,Confirmed,1535,11,metro,1708.2857142857142,10.428571428571429
2020-11-08,Confirmed,1522,11,metro,1786.5714285714287,11.0
2020-11-09,Confirmed,2700,16,metro,1916.2857142857142,11.714285714285714
2020-11-10,Confirmed,2564,16,metro,2030.0,12.571428571428571
2020-11-11,Confirmed,2436,13,metro,2093.285714285714,12.285714285714286
2020-11-12,Confirmed,2537,17,metro,2173.8571428571427,13.714285714285714
2020-11-13,Confirmed,2394,7,metro,2241.1428571428573,13.0
2020-11-14,Confirmed,1738,8,metro,2270.1428571428573,12.571428571428571
2020-11-15,Confirmed,1410,14,metro,2254.1428571428573,13.0
2020-11-16,Confirmed,2731,15,metro,2258.5714285714284,12.857142857142858
2020-11-17,Confirmed,2356,23,metro,2228.8571428571427,13.857142857142858
2020-11-18,Confirmed,2523,25,metro,2241.285714285714,15.571428571428571
2020-11-19,Confirmed,2476,12,metro,2232.5714285714284,14.857142857142858
2020-11-20,Confirmed,2512,24,metro,2249.4285714285716,17.285714285714285
2020-11-21,Confirmed,1556,30,metro,2223.4285714285716,20.428571428571427
2020-11-22,Confirmed,1318,14,metro,2210.285714285714,20.428571428571427
2020-11-23,Confirmed,2731,22,metro,2210.285714285714,21.428571428571427
2020-11-24,Confirmed,2243,33,metro,2194.1428571428573,22.857142857142858
2020-11-25,Confirmed,2195,12,metro,2147.285714285714,21.0
2020-11-26,Confirmed,553,7,metro,1872.5714285714287,20.285714285714285
2020-11-27,Confirmed,1680,13,metro,1753.7142857142858,18.714285714285715
2020-11-28,Confirmed,1117,7,metro,1691.0,15.428571428571429
2020-11-29,Confirmed,525,3,metro,1577.7142857142858,13.857142857142858
2020-11-30,Confirmed,789,22,metro,1300.2857142857142,13.857142857142858
2020-12-01,Confirmed,273,15,metro,1018.8571428571429,11.285714285714286
2020-12-02,Confirmed,23,2,metro,708.5714285714286,9.857142857142858
